end_date,3DS,DC,DS,GBA,GC,NeoGeoP,Switch,PS2,PS3,PS4,PS5,PSP,WS,Vita,Wii,WiiU,XB360,XBOne,XSX,Xbox,PKS
2006-01-08,,,5632951.0,14674460.0,3940231.0,,,18124021.0,,,,2795756.0,,,,,103180.0,,,,
2006-01-15,,,5671475.0,14685118.0,3945587.0,,,18156535.0,,,,2836181.0,,,,,107800.0,,,,
2006-01-22,,,5720039.0,14692548.0,3948765.0,,,18179962.0,,,,2871001.0,,,,,110562.0,,,,
2006-01-29,,,5832977.0,14698776.0,3951283.0,,,18206985.0,,,,2901816.0,,,,,112657.0,,,,
2006-02-05,,,5852621.0,14705315.0,3953710.0,,,18232419.0,,,,2930481.0,,,,,114679.0,,,,
2006-02-12,,,5862817.0,14711184.0,3955724.0,,,18254288.0,,,,2957030.0,,,,,116142.0,,,,
2006-02-19,,,5912924.0,14716375.0,3957760.0,,,18277833.0,,,,2985625.0,,,,,117354.0,,,,
2006-02-26,,,5952297.0,14723709.0,3959268.0,,,18303128.0,,,,3021490.0,,,,,118436.0,,,,
2006-03-05,,,6081341.0,14729361.0,3960900.0,,,18328850.0,,,,3066498.0,,,,,119456.0,,,,
2006-03-12,,,6221159.0,14733983.0,3962211.0,,,18351670.0,,,,3105105.0,,,,,120491.0,,,,
2006-03-19,,,6356950.0,14738708.0,3963564.0,,,18410172.0,,,,3135871.0,,,,,121672.0,,,,
2006-03-26,,,6518574.0,14747630.0,3965103.0,,,18453053.0,,,,3174192.0,,,,,123222.0,,,,
2006-04-02,,,6728369.0,14756024.0,3966695.0,,,18489627.0,,,,3210905.0,,,,,125858.0,,,,
2006-04-09,,,6946580.0,14763841.0,3967961.0,,,18520816.0,,,,3242628.0,,,,,127610.0,,,,
2006-04-16,,,7142961.0,14772767.0,3969074.0,,,18550821.0,,,,3272214.0,,,,,129390.0,,,,
2006-04-23,,,7340733.0,14783356.0,3970161.0,,,18575648.0,,,,3303995.0,,,,,132242.0,,,,
2006-04-30,,,7569544.0,14792800.0,3971748.0,,,18607083.0,,,,3347046.0,,,,,134623.0,,,,
2006-05-07,,,7798355.0,14802244.0,3973335.0,,,18638518.0,,,,3390097.0,,,,,137004.0,,,,
2006-05-14,,,7916646.0,14808369.0,3974741.0,,,18660296.0,,,,3413757.0,,,,,138500.0,,,,
2006-05-21,,,8089045.0,14814423.0,3975962.0,,,18680656.0,,,,3437334.0,,,,,139915.0,,,,
2006-05-28,,,8389166.0,14819601.0,3977018.0,,,18702483.0,,,,3464525.0,,,,,141133.0,,,,
2006-06-04,,,8530051.0,14825088.0,3977988.0,,,18723040.0,,,,3487630.0,,,,,142228.0,,,,
2006-06-11,,,8644183.0,14829665.0,3979094.0,,,18743701.0,,,,3510159.0,,,,,143371.0,,,,
2006-06-18,,,8845839.0,14832945.0,3980406.0,,,18766100.0,,,,3536001.0,,,,,144846.0,,,,
2006-06-25,,,8996171.0,14836483.0,3981421.0,,,18790679.0,,,,3560802.0,,,,,146161.0,,,,
2006-07-02,,,9156563.0,14839509.0,3982350.0,,,18815235.0,,,,3588074.0,,,,,147837.0,,,,
2006-07-09,,,9282627.0,14842025.0,3983269.0,,,18836124.0,,,,3618166.0,,,,,149028.0,,,,
2006-07-16,,,9410617.0,14844748.0,3984174.0,,,18861209.0,,,,3655552.0,,,,,150048.0,,,,
2006-07-23,,,9665444.0,14847949.0,3985181.0,,,18888726.0,,,,3696855.0,,,,,151365.0,,,,
2006-07-30,,,9821504.0,14851117.0,3986140.0,,,18915409.0,,,,3738426.0,,,,,152878.0,,,,
2006-08-06,,,9978196.0,14853797.0,3987033.0,,,18938711.0,,,,3782688.0,,,,,154060.0,,,,
2006-08-13,,,10103789.0,14857043.0,3988013.0,,,18967660.0,,,,3825229.0,,,,,155331.0,,,,
2006-08-20,,,10229382.0,14860289.0,3988993.0,,,18996609.0,,,,3867770.0,,,,,156602.0,,,,
2006-08-27,,,10407024.0,14862827.0,3989747.0,,,19019691.0,,,,3898511.0,,,,,157606.0,,,,
2006-09-03,,,10637924.0,14865434.0,3990648.0,,,19042981.0,,,,3928973.0,,,,,158653.0,,,,
2006-09-10,,,10782641.0,14867495.0,3991369.0,,,19063116.0,,,,3956785.0,,,,,159564.0,,,,
2006-09-17,,,10922794.0,14869484.0,3992031.0,,,19095043.0,,,,3983372.0,,,,,160418.0,,,,
2006-09-24,,,11081044.0,14871685.0,3992752.0,,,19126499.0,,,,4006974.0,,,,,161457.0,,,,
2006-10-01,,,11373982.0,14873291.0,3993257.0,,,19157264.0,,,,4031846.0,,,,,163473.0,,,,
2006-10-08,,,11501321.0,14874687.0,3993866.0,,,19184705.0,,,,4053848.0,,,,,165105.0,,,,
2006-10-15,,,11618312.0,14877313.0,3994720.0,,,19211735.0,,,,4075846.0,,,,,166371.0,,,,
2006-10-22,,,11762071.0,14879527.0,3995309.0,,,19232032.0,,,,4098115.0,,,,,167607.0,,,,
2006-10-29,,,11942492.0,14881230.0,3996018.0,,,19253961.0,,,,4123458.0,,,,,168897.0,,,,
2006-11-05,,,12066442.0,14882640.0,3996528.0,,,19272372.0,,,,4145627.0,,,,,175273.0,,,,
2006-11-12,,,12207989.0,14883844.0,3997032.0,,,19286691.0,88443.0,,,4164038.0,,,,,179511.0,,,,
2006-11-19,,,12331231.0,14885308.0,3997596.0,,,19300733.0,131821.0,,,4179921.0,,,,,183868.0,,,,
2006-11-26,,,12483639.0,14886527.0,3998086.0,,,19324102.0,169082.0,,,4209621.0,,,,,190668.0,,,,
2006-12-03,,,12665135.0,14888347.0,3998685.0,,,19350590.0,199549.0,,,4236226.0,,,371936.0,,195275.0,,,,
2006-12-10,,,12916147.0,14889559.0,3999293.0,,,19382058.0,243146.0,,,4264762.0,,,481004.0,,233371.0,,,,
2006-12-17,,,13291615.0,14891070.0,4000040.0,,,19422150.0,313703.0,,,4320144.0,,,582960.0,,252582.0,,,,
2006-12-24,,,13626579.0,14895042.0,4001219.0,,,19464072.0,390209.0,,,4416396.0,,,786039.0,,271524.0,,,,
2006-12-31,,,13961543.0,14899014.0,4002398.0,,,19505994.0,466715.0,,,4512648.0,,,989118.0,,290466.0,,,,
2007-01-07,,,14266864.0,14902847.0,4003755.0,,,19559293.0,534335.0,,,4631127.0,,,1135671.0,,311052.0,,,,
