,Switch,PS5,PS4,WiiU,3DS,DC,DS,GBA,GC,NeoGeoP,PS2,PS3,PSP,WS,Vita,Wii,XB360,XBOne,XSX,Xbox,PKS
124.0,,,,,,,,,,,,,,,,,,,36801.0,,
126.0,,,,839284.0,,,,,,,,,,,,,,,,,
127.0,,,613785.0,,1185436.0,,,,,,2179654.0,793682.0,,,655899.0,2038951.0,129390.0,,,,797745.0
128.0,1077352.0,,,,,574573.0,,,1124535.0,,,,,,,,,,,,
129.0,,517916.0,,,,,1879864.0,,,,,,,418190.0,,,,46594.0,,184935.0,
130.0,,,,,,,,2576680.0,,51888.0,,,,,,,,,,,
131.0,,,,,,,,,,,,,,,,,,,38730.0,,
133.0,,,,860786.0,,,,,,,,,,,,,,,,,
134.0,,,620896.0,,1208655.0,,,,,,2259168.0,812073.0,,,667066.0,2101312.0,132242.0,,,,823122.0
135.0,1102506.0,,,,,587921.0,,,1140402.0,,,,,,,,,,,,
136.0,,580211.0,,,,,1902542.0,,,,,,,425074.0,,,,47125.0,,190092.0,
137.0,,,,,,,,2661905.0,,52182.0,,,,,,,,,,,
138.0,,,,,,,,,,,,,,,,,,,40009.0,,
140.0,,,,875199.0,,,,,,,,,,,,,,,,,
141.0,,,627627.0,,1254604.0,,,,,,2319488.0,829362.0,,,676207.0,2166405.0,134623.0,,,,850466.0
142.0,1205087.0,,,,,594668.0,,,1157879.0,,,,,,,,,,,,
143.0,,600966.0,,,,,1975309.0,,,,,,,440987.0,,,,47476.0,,193280.0,
144.0,,,,,,,,2756317.0,,70991.0,,,,,,,,,,,
145.0,,,,,,,,,,,,,,,,,,,40168.0,,
147.0,,,,885346.0,,,,,,,,,,,,,,,,,
148.0,,,633492.0,,1286985.0,,,,,,2375944.0,844182.0,,,682056.0,2242418.0,137004.0,,,,882299.0
149.0,1310784.0,,,,,602109.0,,,1171319.0,,,,,,,,,,,,
150.0,,616526.0,,,,,2037178.0,,,,,,,456152.0,,,,47767.0,,195812.0,
151.0,,,,,,,,2850729.0,,77865.0,,,,,,,,,,,
152.0,,,,,,,,,,,,,,,,,,,40739.0,,
154.0,,,,893393.0,,,,,,,,,,,,,,,,,
155.0,,,638669.0,,1302804.0,,,,,,2435785.0,857721.0,,,687935.0,2318431.0,138500.0,,,,912376.0
156.0,1380470.0,,,,,609550.0,,,1186879.0,,,,,,,,,,,,
157.0,,638621.0,,,,,2099047.0,,,,,,,480343.0,,,,48026.0,,199098.0,
158.0,,,,,,,,2929057.0,,82329.0,,,,,,,,,,,
159.0,,,,,,,,,,,,,,,,,,,41284.0,,
161.0,,,,901451.0,,,,,,,,,,,,,,,,,
162.0,,,643912.0,,1410214.0,,,,,,2495626.0,868620.0,,,694024.0,2374155.0,139915.0,,,,949963.0
163.0,1457616.0,,,,,616942.0,,,1199435.0,,,,,,,,,,,,
164.0,,658778.0,,,,,2124348.0,,,,,,,504534.0,,,,48276.0,,203317.0,
165.0,,,,,,,,2993884.0,,85286.0,,,,,,,,,,,
166.0,,,,,,,,,,,,,,,,,,,41390.0,,
168.0,,,,912024.0,,,,,,,,,,,,,,,,,
169.0,,,648942.0,,1517624.0,,,,,,2550770.0,885063.0,,,700437.0,2431809.0,141133.0,,,,976982.0
170.0,1479770.0,,,,,621400.0,,,1209906.0,,,,,,,,,,,,
171.0,,685598.0,,,,,2152727.0,,,,,,,521919.0,,,,49184.0,,207536.0,
172.0,,,,,,,,3051289.0,,89664.0,,,,,,,,,,,
173.0,,,,,,,,,,,,,,,,,,,41993.0,,
175.0,,,,918768.0,,,,,,,,,,,,,,,,,
176.0,,,655256.0,,1625086.0,,,,,,2599765.0,901506.0,,,712693.0,2493148.0,142228.0,,,,1025364.0
177.0,1565273.0,,,,,624744.0,,,1220713.0,,,,,,,,,,,,
178.0,,712418.0,,,,,2196572.0,,,,,,,534625.0,,,,49718.0,,209408.0,
179.0,,,,,,,,3101729.0,,93388.0,,,,,,,,,,,
180.0,,,,,,,,,,,,,,,,,,,42596.0,,
182.0,,,,924826.0,,,,,,,,,,,,,,,,,
183.0,,,660661.0,,1683013.0,,,,,,2646021.0,910468.0,,,744350.0,2563370.0,143371.0,,,,1127519.0
184.0,1598130.0,,,,,629487.0,,,1233411.0,,,,,,,,,,,,
185.0,,726462.0,,,,,2231591.0,,,,,,,545584.0,,,,50197.0,,210242.0,
186.0,,,,,,,,3170499.0,,97112.0,,,,,,,,,,,
187.0,,,,,,,,,,,,,,,,,,,43779.0,,
189.0,,,,930362.0,,,,,,,,,,,,,,,,,
190.0,,,666418.0,,1738277.0,,,,,,2694167.0,918657.0,,,756450.0,2627409.0,144846.0,,,,1224822.0
191.0,1645931.0,,,,,632054.0,,,1267859.0,,,,,,,,,,,,
192.0,,742726.0,,,,,2263506.0,,,,,,,,,,,50643.0,,216689.0,
193.0,,,,,,,,3232065.0,,101522.0,,,,,,,,,,,
194.0,,,,,,,,,,,,,,,,,,,44955.0,,
196.0,,,,936031.0,,,,,,,,,,,,,,,,,
197.0,,,672791.0,,1787468.0,,,,,,2725750.0,928641.0,,,779088.0,2697765.0,146161.0,,,,1318258.0
198.0,1683937.0,,,,,632730.0,,,1289171.0,,,,,,,,,,,,
199.0,,782050.0,,,,,2295712.0,,,,,,,553348.0,,,,50965.0,,222601.0,
200.0,,,,,,,,3276987.0,,103875.0,,,,,,,,,,,
201.0,,,,,,,,,,,,,,,,,,,45502.0,,
203.0,,,,940580.0,,,,,,,,,,,,,,,,,
204.0,,,695004.0,,1849713.0,,,,,,2757378.0,938836.0,,,790632.0,2764122.0,147837.0,,,,1411694.0
205.0,1734083.0,,,,,633209.0,,,1301413.0,,,,,,,,,,,,
206.0,,800380.0,,,,,2332197.0,,,,,,,559398.0,,,,51185.0,,225437.0,
207.0,,,,,,,,3316350.0,,105527.0,,,,,,,,,,,
208.0,,,,,,,,,,,,,,,,,,,46132.0,,
210.0,,,,945611.0,,,,,,,,,,,,,,,,,
211.0,,,703288.0,,1918099.0,,,,,,2786319.0,949592.0,,,802020.0,2839132.0,149028.0,,,,1506195.0
212.0,1808583.0,,,,,678267.0,,,1313775.0,,,,,,,,,,,,
213.0,,819799.0,,,,,2370339.0,,,,,,,564452.0,,,,51477.0,,229796.0,
214.0,,,,,,,,3353407.0,,107726.0,,,,,,,,,,,
215.0,,,,,,,,,,,,,,,,,,,48826.0,,
217.0,,,,949847.0,,,,,,,,,,,,,,,,,
218.0,,,710547.0,,1973952.0,,,,,,2812870.0,960604.0,,,812123.0,2909930.0,150048.0,,,,1586314.0
219.0,1847008.0,,,,,703516.0,,,1321378.0,,,,,,,,,,,,
220.0,,835145.0,,,,,2412920.0,,,,,,,569534.0,,,,52102.0,,233154.0,
221.0,,,,,,,,3397820.0,,109489.0,,,,,,,,,,,
222.0,,,,,,,,,,,,,,,,,,,52510.0,,
224.0,,,,955693.0,,,,,,,,,,,,,,,,,
225.0,,,717338.0,,2024868.0,,,,,,2835229.0,970269.0,,,821204.0,3014827.0,151365.0,,,,1666232.0
226.0,1884235.0,,,,,724257.0,,,1332134.0,,,,,,,,,,,,
227.0,,858583.0,,,,,2452592.0,,,,,,,573541.0,,,,52615.0,,236372.0,
228.0,,,,,,,,3433894.0,,110936.0,,,,,,,,,,,
229.0,,,,,,,,,,,,,,,,,,,56623.0,,
231.0,,,,962073.0,,,,,,,,,,,,,,,,,
232.0,,,727221.0,,2079328.0,,,,,,2855374.0,982946.0,,,829407.0,3090508.0,152878.0,,,,
233.0,1908127.0,,,,,742196.0,,,1342890.0,,,,,,,,,,,,
234.0,,874937.0,,,,,2497604.0,,,,,,,578503.0,,,,53123.0,,239483.0,
235.0,,,,,,,,3467040.0,,112889.0,,,,,,,,,,,
236.0,,,,,,,,,,,,,,,,,,,60093.0,,
238.0,,,,982801.0,,,,,,,,,,,,,,,,,
239.0,,,734031.0,,2154714.0,,,,,,2873818.0,996348.0,,,839350.0,3160874.0,154060.0,,,,1740467.0
240.0,2041221.0,,,,,758727.0,,,1353531.0,,,,,,,,,,,,
241.0,,889341.0,,,,,2541876.0,,,,,,,582482.0,,,,53526.0,,242701.0,
242.0,,,,,,,,3495136.0,,115097.0,,,,,,,,,,,
243.0,,,,,,,,,,,,,,,,,,,61159.0,,
245.0,,,,996825.0,,,,,,,,,,,,,,,,,
246.0,,,741934.0,,2222568.0,,,,,,2895631.0,1010491.0,,,849293.0,3223672.0,155331.0,,,,1818278.0
247.0,2105198.0,,,,,778687.0,,,1359393.0,,,,,,,,,,,,
248.0,,899448.0,,,,,2594399.0,,,,,,,585295.0,,,,53782.0,,245659.0,
249.0,,,,,,,,3526219.0,,116417.0,,,,,,,,,,,
250.0,,,,,,,,,,,,,,,,,,,63033.0,,
252.0,,,,1007762.0,,,,,,,,,,,,,,,,,
253.0,,,749948.0,,2350855.0,,,,,,2914316.0,1023934.0,,,859044.0,3289993.0,156602.0,,,,1899796.0
254.0,2189791.0,,,,,817741.0,,,1362895.0,,,,,,,,,,,,
255.0,,917562.0,,,,,2682164.0,,,,,,,590290.0,,,,53937.0,,251706.0,
