"begin_date","end_date","hw","units"
"1999-06-21","1999-06-27","NeoGeoP",2208
"1999-06-28","1999-07-04","PKS",37587
"1999-06-28","1999-07-04","PS",33946
"1999-06-28","1999-07-04","DC",25249
"1999-06-28","1999-07-04","GB",18546
"1999-06-28","1999-07-04","WS",9954
"1999-06-28","1999-07-04","N64",9471
"1999-06-28","1999-07-04","NeoGeoP",1320
"1999-07-05","1999-07-11","PS",32601
"1999-07-05","1999-07-11","GB",29085
"1999-07-05","1999-07-11","PKS",27019
"1999-07-05","1999-07-11","DC",20741
"1999-07-05","1999-07-11","N64",11246
"1999-07-05","1999-07-11","WS",9943
"1999-07-05","1999-07-11","NeoGeoP",1457
"1999-07-12","1999-07-18","PKS",48382
"1999-07-12","1999-07-18","PS",33633
"1999-07-12","1999-07-18","GB",26565
"1999-07-12","1999-07-18","DC",17939
"1999-07-12","1999-07-18","N64",17414
"1999-07-12","1999-07-18","WS",6884
"1999-07-12","1999-07-18","NeoGeoP",1581
"1999-07-19","1999-07-25","PKS",102155
"1999-07-19","1999-07-25","PS",37650
"1999-07-19","1999-07-25","GB",36418
"1999-07-19","1999-07-25","DC",16531
"1999-07-19","1999-07-25","WS",15913
"1999-07-19","1999-07-25","N64",14889
"1999-07-19","1999-07-25","NeoGeoP",1691
"1999-07-26","1999-08-01","PKS",97303
"1999-07-26","1999-08-01","GB",37199
"1999-07-26","1999-08-01","PS",24949
"1999-07-26","1999-08-01","DC",19960
"1999-07-26","1999-08-01","WS",15165
"1999-07-26","1999-08-01","N64",10006
"1999-07-26","1999-08-01","NeoGeoP",1534
"1999-08-02","1999-08-08","PS",39217
"1999-08-02","1999-08-08","DC",39054
"1999-08-02","1999-08-08","N64",17197
"1999-08-02","1999-08-08","GB",56206
"1999-08-02","1999-08-08","NeoGeoP",1530
"1999-08-02","1999-08-08","WS",24191
"1999-08-02","1999-08-08","PKS",93436
"1999-08-09","1999-08-15","PS",39217
"1999-08-09","1999-08-15","DC",39054
"1999-08-09","1999-08-15","N64",17197
"1999-08-09","1999-08-15","GB",56206
"1999-08-09","1999-08-15","NeoGeoP",1530
"1999-08-09","1999-08-15","WS",24191
"1999-08-09","1999-08-15","PKS",93436
"1999-08-16","1999-08-22","PS",33267
"1999-08-16","1999-08-22","DC",22944
"1999-08-16","1999-08-22","N64",13134
"1999-08-16","1999-08-22","GB",51318
"1999-08-16","1999-08-22","NeoGeoP",1739
"1999-08-16","1999-08-22","WS",17385
"1999-08-16","1999-08-22","PKS",94501
"1999-08-23","1999-08-29","PS",23719
"1999-08-23","1999-08-29","DC",27652
"1999-08-23","1999-08-29","N64",8477
"1999-08-23","1999-08-29","GB",32523
"1999-08-23","1999-08-29","NeoGeoP",1251
"1999-08-23","1999-08-29","WS",12706
"1999-08-23","1999-08-29","PKS",80119
"1999-08-30","1999-09-05","PS",27125
"1999-08-30","1999-09-05","DC",26453
"1999-08-30","1999-09-05","N64",7157
"1999-08-30","1999-09-05","GB",30778
"1999-08-30","1999-09-05","NeoGeoP",1216
"1999-08-30","1999-09-05","WS",10959
"1999-08-30","1999-09-05","PKS",79918
"1999-09-13","1999-09-19","PS",22022
"1999-09-13","1999-09-19","DC",15284
"1999-09-13","1999-09-19","N64",6011
"1999-09-13","1999-09-19","GB",27067
"1999-09-13","1999-09-19","NeoGeoP",671
"1999-09-13","1999-09-19","WS",7764
"1999-09-13","1999-09-19","PKS",74235
"1999-09-20","1999-09-26","PS",25996
"1999-09-20","1999-09-26","DC",16569
"1999-09-20","1999-09-26","N64",5271
"1999-09-20","1999-09-26","GB",32429
"1999-09-20","1999-09-26","NeoGeoP",526
"1999-09-20","1999-09-26","WS",6050
"1999-09-20","1999-09-26","PKS",77811
"1999-09-27","1999-10-03","PS",21442
"1999-09-27","1999-10-03","DC",32354
"1999-09-27","1999-10-03","N64",5173
"1999-09-27","1999-10-03","GB",41741
"1999-09-27","1999-10-03","NeoGeoP",174
"1999-09-27","1999-10-03","WS",5054
"1999-09-27","1999-10-03","PKS",81518
"1999-10-04","1999-10-10","PS",17169
"1999-10-04","1999-10-10","DC",16519
"1999-10-04","1999-10-10","N64",5229
"1999-10-04","1999-10-10","GB",31884
"1999-10-04","1999-10-10","NeoGeoP",57
"1999-10-04","1999-10-10","WS",5082
"1999-10-04","1999-10-10","PKS",58602
"1999-10-11","1999-10-17","PS",16828
"1999-10-11","1999-10-17","DC",13308
"1999-10-11","1999-10-17","N64",5724
"1999-10-11","1999-10-17","GB",35951
"1999-10-11","1999-10-17","NeoGeoP",54
"1999-10-11","1999-10-17","WS",4007
"1999-10-11","1999-10-17","PKS",55929
"1999-10-18","1999-10-24","PS",14868
"1999-10-18","1999-10-24","DC",9558
"1999-10-18","1999-10-24","N64",5608
"1999-10-18","1999-10-24","GB",34327
"1999-10-18","1999-10-24","NeoGeoP",13198
"1999-10-18","1999-10-24","WS",4962
"1999-10-18","1999-10-24","PKS",60629
"1999-10-25","1999-10-31","PS",15238
"1999-10-25","1999-10-31","DC",13426
"1999-10-25","1999-10-31","N64",6267
"1999-10-25","1999-10-31","GB",38399
"1999-10-25","1999-10-31","NeoGeoP",6837
"1999-10-25","1999-10-31","WS",3979
"1999-10-25","1999-10-31","PKS",58804
"1999-11-01","1999-11-07","PS",14000
"1999-11-01","1999-11-07","DC",12846
"1999-11-01","1999-11-07","N64",6581
"1999-11-01","1999-11-07","GB",34370
"1999-11-01","1999-11-07","NeoGeoP",3897
"1999-11-01","1999-11-07","WS",2813
"1999-11-01","1999-11-07","PKS",43781
"1999-11-08","1999-11-14","PS",13346
"1999-11-08","1999-11-14","DC",11530
"1999-11-08","1999-11-14","N64",4498
"1999-11-08","1999-11-14","GB",28371
"1999-11-08","1999-11-14","WS",4995
"1999-11-08","1999-11-14","NeoGeoP",3247
"1999-11-08","1999-11-14","PKS",36862
"1999-11-15","1999-11-21","PS",14100
"1999-11-15","1999-11-21","DC",9253
"1999-11-15","1999-11-21","N64",5629
"1999-11-15","1999-11-21","GB",73672
"1999-11-15","1999-11-21","NeoGeoP",3937
"1999-11-15","1999-11-21","WS",2449
"1999-11-15","1999-11-21","PKS",32404
"1999-11-22","1999-11-28","PS",17057
"1999-11-22","1999-11-28","DC",14879
"1999-11-22","1999-11-28","N64",8494
"1999-11-22","1999-11-28","GB",82401
"1999-11-22","1999-11-28","NeoGeoP",1850
"1999-11-22","1999-11-28","WS",6837
"1999-11-22","1999-11-28","PKS",44666
"1999-11-29","1999-12-05","PS",17221
"1999-11-29","1999-12-05","DC",18902
"1999-11-29","1999-12-05","N64",7659
"1999-11-29","1999-12-05","GB",78958
"1999-11-29","1999-12-05","NeoGeoP",5710
"1999-11-29","1999-12-05","WS",1954
"1999-11-29","1999-12-05","PKS",71989
"1999-12-06","1999-12-12","PS",31788
"1999-12-06","1999-12-12","DC",21067
"1999-12-06","1999-12-12","N64",19451
"1999-12-06","1999-12-12","GB",115832
"1999-12-06","1999-12-12","NeoGeoP",1769
"1999-12-06","1999-12-12","WS",16678
"1999-12-06","1999-12-12","PKS",80470
"1999-12-13","1999-12-19","PS",47721
"1999-12-13","1999-12-19","DC",27062
"1999-12-13","1999-12-19","N64",26041
"1999-12-13","1999-12-19","GB",162643
"1999-12-13","1999-12-19","NeoGeoP",2148
"1999-12-13","1999-12-19","WS",24354
"1999-12-20","1999-12-26","PS",55065
"1999-12-20","1999-12-26","DC",41889
"1999-12-20","1999-12-26","N64",31370
"1999-12-20","1999-12-26","GB",175457
"1999-12-20","1999-12-26","NeoGeoP",7093
"1999-12-20","1999-12-26","WS",34190
"1999-12-20","1999-12-26","PKS",105901
"1999-12-27","2000-01-02","PS",55065
"1999-12-27","2000-01-02","DC",41889
"1999-12-27","2000-01-02","N64",31370
"1999-12-27","2000-01-02","GB",175457
"1999-12-27","2000-01-02","NeoGeoP",7093
"1999-12-27","2000-01-02","WS",34190
"1999-12-27","2000-01-02","PKS",105901
"2000-01-03","2000-01-09","PS",39974
"2000-01-03","2000-01-09","DC",39666
"2000-01-03","2000-01-09","N64",20501
"2000-01-03","2000-01-09","GB",16929
"2000-01-03","2000-01-09","NeoGeoP",7657
"2000-01-03","2000-01-09","WS",14456
"2000-01-03","2000-01-09","PKS",93580
"2000-01-10","2000-01-16","PS",23117
"2000-01-10","2000-01-16","DC",16912
"2000-01-10","2000-01-16","N64",6401
"2000-01-10","2000-01-16","GB",38107
"2000-01-10","2000-01-16","NeoGeoP",4648
"2000-01-10","2000-01-16","WS",6664
"2000-01-10","2000-01-16","PKS",50587
"2000-01-17","2000-01-23","PS",15269
"2000-01-17","2000-01-23","DC",12813
"2000-01-17","2000-01-23","N64",5368
"2000-01-17","2000-01-23","GB",49516
"2000-01-17","2000-01-23","NeoGeoP",3795
"2000-01-17","2000-01-23","WS",7263
"2000-01-17","2000-01-23","PKS",37509
"2000-01-24","2000-01-30","PS",12834
"2000-01-24","2000-01-30","DC",12718
"2000-01-24","2000-01-30","N64",5072
"2000-01-24","2000-01-30","GB",63990
"2000-01-24","2000-01-30","NeoGeoP",4488
"2000-01-24","2000-01-30","WS",7626
"2000-01-24","2000-01-30","PKS",39951
"2000-01-31","2000-02-06","PS",9883
"2000-01-31","2000-02-06","DC",18957
"2000-01-31","2000-02-06","N64",3197
"2000-01-31","2000-02-06","GB",91490
"2000-01-31","2000-02-06","NeoGeoP",4110
"2000-01-31","2000-02-06","WS",5549
"2000-01-31","2000-02-06","PKS",29986
"2000-02-07","2000-02-13","PS",8801
"2000-02-07","2000-02-13","DC",12794
"2000-02-07","2000-02-13","N64",3695
"2000-02-07","2000-02-13","GB",58307
"2000-02-07","2000-02-13","NeoGeoP",4386
"2000-02-07","2000-02-13","WS",5966
"2000-02-07","2000-02-13","PKS",26972
"2000-02-14","2000-02-20","PS",6237
"2000-02-14","2000-02-20","DC",9948
"2000-02-14","2000-02-20","N64",3016
"2000-02-14","2000-02-20","GB",60771
"2000-02-14","2000-02-20","NeoGeoP",3283
"2000-02-14","2000-02-20","WS",4303
"2000-02-14","2000-02-20","PKS",19904
"2000-02-21","2000-02-27","PS",5733
"2000-02-21","2000-02-27","DC",8983
"2000-02-21","2000-02-27","N64",3003
"2000-02-21","2000-02-27","GB",62361
"2000-02-21","2000-02-27","NeoGeoP",2613
"2000-02-21","2000-02-27","WS",7555
"2000-02-21","2000-02-27","PKS",18841
"2000-02-28","2000-03-05","PS",4593
"2000-02-28","2000-03-05","PS2",630552
"2000-02-28","2000-03-05","DC",8256
"2000-02-28","2000-03-05","N64",3036
"2000-02-28","2000-03-05","GB",51133
"2000-02-28","2000-03-05","NeoGeoP",2991
"2000-02-28","2000-03-05","WS",5076
"2000-02-28","2000-03-05","PKS",16410
"2000-03-06","2000-03-12","PS",4455
"2000-03-06","2000-03-12","PS2",154245
"2000-03-06","2000-03-12","DC",7164
"2000-03-06","2000-03-12","N64",2874
"2000-03-06","2000-03-12","GB",49903
"2000-03-06","2000-03-12","NeoGeoP",2441
"2000-03-06","2000-03-12","WS",4644
"2000-03-06","2000-03-12","PKS",17505
"2000-03-13","2000-03-19","PS",4937
"2000-03-13","2000-03-19","PS2",71780
"2000-03-13","2000-03-19","DC",7080
"2000-03-13","2000-03-19","N64",2921
"2000-03-13","2000-03-19","GB",52374
"2000-03-13","2000-03-19","NeoGeoP",2961
"2000-03-13","2000-03-19","WS",4753
"2000-03-13","2000-03-19","PKS",15819
"2000-03-20","2000-03-26","PS",52445
"2000-03-20","2000-03-26","PS2",112620
"2000-03-20","2000-03-26","DC",8561
"2000-03-20","2000-03-26","N64",4016
"2000-03-20","2000-03-26","GB",57380
"2000-03-20","2000-03-26","NeoGeoP",3674
"2000-03-20","2000-03-26","WS",9921
"2000-03-20","2000-03-26","PKS",18194
"2000-03-27","2000-04-02","PS",3932
"2000-03-27","2000-04-02","PS2",165685
"2000-03-27","2000-04-02","DC",8603
"2000-03-27","2000-04-02","N64",5340
"2000-03-27","2000-04-02","GB",48213
"2000-03-27","2000-04-02","NeoGeoP",2633
"2000-03-27","2000-04-02","WS",5278
"2000-03-27","2000-04-02","PKS",17593
"2000-04-03","2000-04-09","PS",3790
"2000-04-03","2000-04-09","PS2",119430
"2000-04-03","2000-04-09","DC",6742
"2000-04-03","2000-04-09","N64",3365
"2000-04-03","2000-04-09","GB",37117
"2000-04-03","2000-04-09","NeoGeoP",2474
"2000-04-03","2000-04-09","WS",5176
"2000-04-03","2000-04-09","PKS",14237
"2000-04-10","2000-04-16","PS",3526
"2000-04-10","2000-04-16","PS2",75704
"2000-04-10","2000-04-16","DC",6840
"2000-04-10","2000-04-16","N64",3399
"2000-04-10","2000-04-16","GB",30476
"2000-04-10","2000-04-16","NeoGeoP",2337
"2000-04-10","2000-04-16","WS",3203
"2000-04-10","2000-04-16","PKS",17618
"2000-04-17","2000-04-23","PS",3364
"2000-04-17","2000-04-23","PS2",74350
"2000-04-17","2000-04-23","DC",4874
"2000-04-17","2000-04-23","N64",3539
"2000-04-17","2000-04-23","GB",30142
"2000-04-17","2000-04-23","NeoGeoP",1917
"2000-04-17","2000-04-23","WS",3218
"2000-04-17","2000-04-23","PKS",10023
"2000-04-24","2000-04-30","PS",2782
"2000-04-24","2000-04-30","PS2",58151
"2000-04-24","2000-04-30","DC",6666
"2000-04-24","2000-04-30","N64",8630
"2000-04-24","2000-04-30","GB",36296
"2000-04-24","2000-04-30","NeoGeoP",2448
"2000-04-24","2000-04-30","WS",3905
"2000-04-24","2000-04-30","PKS",13444
"2000-05-01","2000-05-07","PS",2782
"2000-05-01","2000-05-07","PS2",58151
"2000-05-01","2000-05-07","DC",6666
"2000-05-01","2000-05-07","N64",8630
"2000-05-01","2000-05-07","GB",36296
"2000-05-01","2000-05-07","NeoGeoP",2448
"2000-05-01","2000-05-07","WS",3905
"2000-05-01","2000-05-07","PKS",13444
"2000-05-08","2000-05-14","PS",1381
"2000-05-08","2000-05-14","PS2",43587
"2000-05-08","2000-05-14","DC",4548
"2000-05-08","2000-05-14","N64",2945
"2000-05-08","2000-05-14","GB",21443
"2000-05-08","2000-05-14","NeoGeoP",1376
"2000-05-08","2000-05-14","WS",2968
"2000-05-08","2000-05-14","PKS",9965
"2000-05-15","2000-05-21","PS",1483
"2000-05-15","2000-05-21","PS2",55663
"2000-05-15","2000-05-21","DC",5578
"2000-05-15","2000-05-21","N64",2606
"2000-05-15","2000-05-21","GB",17948
"2000-05-15","2000-05-21","NeoGeoP",1631
"2000-05-15","2000-05-21","WS",2035
"2000-05-15","2000-05-21","PKS",8307
"2000-05-22","2000-05-28","PS",604
"2000-05-22","2000-05-28","PS2",89957
"2000-05-22","2000-05-28","DC",5429
"2000-05-22","2000-05-28","N64",3172
"2000-05-22","2000-05-28","GB",17672
"2000-05-22","2000-05-28","WS",4831
"2000-05-22","2000-05-28","NeoGeoP",1804
"2000-05-22","2000-05-28","PKS",34146
"2000-05-29","2000-06-04","PS",278
"2000-05-29","2000-06-04","PS2",83840
"2000-05-29","2000-06-04","DC",4457
"2000-05-29","2000-06-04","N64",6465
"2000-05-29","2000-06-04","GB",17287
"2000-05-29","2000-06-04","WS",6021
"2000-05-29","2000-06-04","NeoGeoP",1572
"2000-05-29","2000-06-04","PKS",25681
"2000-06-05","2000-06-11","PS",245
"2000-06-05","2000-06-11","PS2",79393
"2000-06-05","2000-06-11","DC",3711
"2000-06-05","2000-06-11","N64",2908
"2000-06-05","2000-06-11","GB",16831
"2000-06-05","2000-06-11","NeoGeoP",1509
"2000-06-05","2000-06-11","WS",3755
"2000-06-05","2000-06-11","PKS",18075
"2000-06-12","2000-06-18","PS",216
"2000-06-12","2000-06-18","PS2",68548
"2000-06-12","2000-06-18","DC",4172
"2000-06-12","2000-06-18","N64",2595
"2000-06-12","2000-06-18","GB",19102
"2000-06-12","2000-06-18","NeoGeoP",1415
"2000-06-12","2000-06-18","WS",3814
"2000-06-12","2000-06-18","PKS",15973
"2000-06-19","2000-06-25","PS",152
"2000-06-19","2000-06-25","PS2",67099
"2000-06-19","2000-06-25","DC",5864
"2000-06-19","2000-06-25","N64",3174
"2000-06-19","2000-06-25","GB",20655
"2000-06-19","2000-06-25","NeoGeoP",4587
"2000-06-19","2000-06-25","WS",3376
"2000-06-19","2000-06-25","PKS",14208
"2000-06-26","2000-07-02","PS",152
"2000-06-26","2000-07-02","PS2",80112
"2000-06-26","2000-07-02","DC",4903
"2000-06-26","2000-07-02","N64",3080
"2000-06-26","2000-07-02","GB",21735
"2000-06-26","2000-07-02","NeoGeoP",2487
"2000-06-26","2000-07-02","WS",2820
"2000-06-26","2000-07-02","PKS",17861
"2000-07-03","2000-07-09","PS",14175
"2000-07-03","2000-07-09","PS2",90787
"2000-07-03","2000-07-09","DC",3668
"2000-07-03","2000-07-09","N64",3106
"2000-07-03","2000-07-09","GB",18914
"2000-07-03","2000-07-09","NeoGeoP",1675
"2000-07-03","2000-07-09","WS",2646
"2000-07-03","2000-07-09","PKS",18870
"2000-07-10","2000-07-16","PS",13662
"2000-07-10","2000-07-16","PS2",79514
"2000-07-10","2000-07-16","DC",3777
"2000-07-10","2000-07-16","N64",2251
"2000-07-10","2000-07-16","GB",36021
"2000-07-10","2000-07-16","NeoGeoP",2082
"2000-07-10","2000-07-16","WS",5173
"2000-07-10","2000-07-16","PKS",15240
"2000-07-17","2000-07-23","PS",15941
"2000-07-17","2000-07-23","PS2",60320
"2000-07-17","2000-07-23","DC",4518
"2000-07-17","2000-07-23","N64",5387
"2000-07-17","2000-07-23","GB",32668
"2000-07-17","2000-07-23","NeoGeoP",1782
"2000-07-17","2000-07-23","WS",7851
"2000-07-17","2000-07-23","PKS",11184
"2000-07-24","2000-07-30","PS",19129
"2000-07-24","2000-07-30","PS2",56456
"2000-07-24","2000-07-30","DC",6221
"2000-07-24","2000-07-30","N64",5418
"2000-07-24","2000-07-30","GB",34040
"2000-07-24","2000-07-30","NeoGeoP",1074
"2000-07-24","2000-07-30","WS",6611
"2000-07-24","2000-07-30","PKS",14447
"2000-07-31","2000-08-06","PS",19533
"2000-07-31","2000-08-06","PS2",59841
"2000-07-31","2000-08-06","DC",5682
"2000-07-31","2000-08-06","N64",5174
