"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"761","PS 1119|PS2 39324|Xbox 756|GC 15701|GBA 10083|GBASP 34797|WS 439","『MOTHER 1＋2』|GBA、任天堂、2003/6/20、4800円、149939本（初）|（2003/6/16〜6/22）","『ケロケロキングDX』|GC、バンダイ、29点(8/8/7/6)","●―"
"762","PS 1054|PS2 41163|Xbox 3612|GC 13903|GBA 11588|GBASP 29847|WS 361","『頭文字D　Special Stage』|PS2、セガ、2003/6/26、6800円、167645本（初）|（2003/6/23〜6/29）","『実況パワフルプロ野球10』|PS2、コナミ、36点(9/9/9/9)|『実況パワフルプロ野球10』|GC、コナミ、36点(9/9/9/9)|『ボクらの太陽』|GBA、コナミ、36点(8/9/10/9)","●―"
"763","PS 887|PS2 41750|Xbox 1597|GC 10447|GBA 11491|GBASP 28259|WS 480","『サイレントヒル3』|PS2、コナミ、2003/7/3、6980円、46715本（初）|（2003/6/30〜7/6）","『トゥルーラブストーリー　サマーデイズアンドイエット...』|PS2、エンターブレイン、32点(8/8/8/8)|『F-ZERO GX』|GC、任天堂、32点(9/7/8/8)|『シャイニングソウルII』|GBA、セガ、32点(8/8/8/8)","●―"
"764","PS 789|PS2 33222|Xbox 1018|GC 10138|GBA 10919|GBASP 30400|WS 349","『スーパーマリオアドバンス4』|GBA、任天堂、2003/7/11、4800円、105813本（初）|（2003/7/7〜7/13）","『ポケモンピンボール　ルビー＆サファイア』|GBA、ポケモン、34点(9/9/7/9)","●―"
"765","PS 538|PS2 39957|Xbox 1212|GC 11018|GBA 12589|GBASP 38488|WS 1251","『実況パワフルプロ野球10』|PS2、コナミ、2003/7/18、6980円、202428本（初）|（2003/7/14〜7/20）","『ワールドサッカーウイニングイレブン7』|PS2、コナミ、36点(10/8/8/10)","●―"
"767|※","PS 758|PS2 40519|Xbox 1067|GC 12516|GBA 12792|GBASP 40942|WS 903","『首都高バトル01』|PS2、元気、2003/7/24、6800円、105579本（初）|（2003/7/21〜7/27）","『ファイナルファンタジー・クリスタルクロニクル』|GC、任天堂、32点(9/8/7/8)","●―"
"768","PS 785|PS2 40093|Xbox 1174|GC 13152|GBA 10187|GBASP 41161|WS 1003","『機動戦士ガンダムSEED』|PS2、バンダイ、2003/7/31、6800円、145662本（初）|（2003/7/28〜8/3）","『ウイニングポスト6』|PS2、コーエー、34点(9/8/8/9)|『テイルズオブシンフォニア』|GC、任天堂、34点(9/8/8/9)","●―"
"769","PS 1588|PS2 95111|Xbox 1754|GC 41543|GBA 29208|GBASP 97469|WS 1106|（2週分）","『ワールドサッカーウイニングイレブン7』|PS2、コナミ、2003/8/7、6980円、776867本（初）|（2003/8/4〜8/17）","『マリオゴルフ　ファミリーツアー』|GC、任天堂、32点(8/8/8/8)","●―"
"770","PS 526|PS2 31702|Xbox 730|GC 12671|GBA 13292|GBASP 30170|WS 484","『ワールドサッカーウイニングイレブン7』|PS2、コナミ、2003/8/7、6980円、89495本（866362）|（2003/8/18〜8/24）","『牧場物語ワンダフルライフ』|GC、マーベラスインタラクティブ、31点(9/8/7/7)","●―"
"771","PS 658|PS2 34622|Xbox 1151|GC 33984|GBA 13184|GBASP 43795|WS 377","『テイルズオブシンフォニア』|GC、ナムコ、2003/8/29、6800円、183527本（初）|（2003/8/25〜8/31）","『魔界英雄記マキシモ〜マシンモンスターの野望〜』|PS2、カプコン、33点(9/8/8/8)","●―"
"772","PS 591|PS2 29807|Xbox 579|GC 22585|GBA 10561|GBASP 40156|WS 316","『機動戦士ガンダム　めぐりあい宇宙』|PS2、バンダイ、2003/9/4、6980円、359441本（初）|（2003/9/1〜9/7）","『真・三國無双3　猛将伝』|PS2、コーエー、35点(9/8/9/9)","●―"
"773","PS 505|PS2 30050|Xbox 510|GC 17359|GBA 9970|GBASP 35298|WS 494","『ドラッグオンドラグーン』|PS2、スクウェア・エニックス、2003/9/11、6800円、131629本（初）|（2003/9/8〜9/14）","『天才ビットくん　グラモンバトル』|GC、タイトー、30点(8/8/7/7)","●―"
"774","PS 738|PS2 28557|Xbox 607|GC 14380|GBA 8318|GBASP 32614|WS 368","『機動戦士ガンダム　めぐりあい宇宙』|PS2、バンダイ、2003/9/4、6980円、41013本（487048）|（2003/9/15〜9/21）","『侍道2』|PS2、スパイク、32点(9/8/8/7)|『ジャイアントエッグ〜ビリー・ハッチャーの大冒険〜』|GC、セガ、32点(8/8/8/8)","●―"
"775","PS 941|PS2 32275|Xbox 931|GC 15515|GBA 8209|GBASP 30996|WS 288","『真・三國無双3　猛将伝』|PS2、コーエー、2003/9/25、4280円、265489本（初）|（2003/9/22〜9/28）","『経営シミュレーション　ジュラシック・パーク』|PS2、コナミ、30点(8/7/7/8)","●―"
"776","PS 954|PS2 28201|Xbox 616|GC 10877|GBA 7405|GBASP 26042|WS 259","『天外魔境2　MANJIMARU』|PS2、ハドソン、2003/10/2、4980円、89497本（初）|（2003/9/29〜10/5）","『式神の城II』|GC、キッズステーション、34点(8/8/9/9)","●―"
"777","PS 404|PS2 26096|Xbox 438|GC 9332|GBA 7194|GBASP 23340|WS 228","『侍道2』|PS2、スパイク、2003/10/9、6800円、114322本（初）|（2003/10/6〜10/12）","『みんなのソフトシリーズZOOO』|GBA、サクセス、28点(8/6/8/6)","●―"
"778","PS 511|PS2 26239|Xbox 544|GC 15563|GBA 6798|GBASP 23963|WS 496","『あつまれ!!　メイドインワリオ』|GC、任天堂、2003/10/17、3800円、100628本（初）|（2003/10/13〜10/19）","『マリオカートダブルダッシュ!!』|GC、任天堂、36点(9/9/9/9)","●―"
"779","PS 479|PS2 26393|Xbox 408|GC 14401|GBA 5379|GBASP 20128|WS 181","『NARUTO -ナルト- ナルティメットヒーロー』|PS2、バンダイ、2003/10/23、6800円、125770本（初）|（2003/10/20〜10/26）","『BUSIN 0(ゼロ)ウィザードリィ オルタナティブネオ』|PS2、アトラス、32点(9/7/8/8)","●―"
"780","PS 516|PS2 26139|Xbox 555|GC 14702|GBA 6547|GBASP 22477|WS 192","『太鼓の達人　あっぱれ三代目』|PS2、ナムコ、2003/10/30、4500円、53995本（初）|（2003/10/27〜11/2）","『マリオ＆ルイージRPG』|GBA、任天堂、37点(9/10/9/9)","●―"
