"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"936","PS2 21929|GC 709|XB360 1290|GBASP 1703|GBM 1522|PSP 25343|DS 429|DSL 179992","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、209288本（2752246）|（2006/10/23〜10/29）","『戦国無双2 Empires』|PS2、コーエー、32点(8/8/8/8)","●―"
"937","PS2 18411|GC 510|XB360 6376|GBASP 1410|GBM 1550|PSP 22169|DS 840|DSL 123110","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、183048本（2935294）|（2006/10/30〜11/5）","『カルドセプトサーガ』|XB360、バンダイナムコゲームス、34点(8/9/8/9)","●―"
"938","PS2 14319|PS3 88443|GC 504|XB360 4238|GBASP 1204|GBM 1075|PSP 18411|DS 640|DSL 140907","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、124738本（3060032）|（2006/11/6〜11/12）","『ゼルダの伝説トワイライトプリンセス（任天堂オンライン専売）』|GC、任天堂、38点(10/10/9/9)|『ゼルダの伝説トワイライトプリンセス』|Wii、任天堂、38点(9/10/9/10)","●PS3発売"
"939","PS2 14042|PS3 43378|GC 564|XB360 4357|GBASP 1464|GBM 1025|PSP 15883|DS 864|DSL 122378","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/9/28、各4800円、101113本（3161145）|（2006/11/13〜11/19）","『龍が如く2』|PS2、セガ、38点(9/10/9/10)","●『ポケモン』が8週連続トップの偉業達成"
"940","PS2 23369|PS3 37261|GC 490|XB360 6800|GBASP 1219|GBM 1034|PSP 29700|DS 531|DSL 151877","『オシャレ魔女ラブ＆ベリー〜DSコレクション〜』|DS、セガ、2006/11/22、6090円、425380本（初）|（2006/11/20〜11/26）","『実況パワフルプロ野球13決定版』|PS2、KONAMI、35点(9/9/8/9)|『ワールドサッカーウイニングイレブンX』|XB360、KONAMI、35点(9/8/8/10)","●―"
"941","PS2 26488|PS3 30467|GC 599|Wii 371936|XB360 4607|GBASP 1820|GBM 1516|PSP 26605|DS 675|DSL 180821","『テイルズオブデスティニー』|PS2、バンダイナムコゲームス、2006/11/29、7140円、256288本（初）|（2006/11/27〜12/3）","『メタルギアソリッドポータブル・オプス』|PSP、KONAMI、37点(9/10/9/9)","●Wii発売"
"943|※","PS2 31468|PS3 43597|GC 608|Wii 109068|XB360 38096|GBASP 1212|GBM 1407|PSP 28536|DS 650|DSL 250362","『機動戦士ガンダムSEED DESTINY　連合vs.Z.A.F.T.II PLUS』|PS2、バンダイナムコゲームス、2006/12/07、7140円、328019本（初）|（2006/12/4〜12/10）","『ポケモンバトルレボリューション』|Wii、ポケモン、35点(9/9/8/9)","●―"
"944","PS2 40092|PS3 70557|GC 747|Wii 101956|XB360 19211|GBASP 1511|GBM 1547|PSP 55382|DS 779|DSL 374689","『ポケットモンスター　ダイヤモンド・パール』|DS、ポケモン、2006/09/28、各4800円、225228本（3748570）|（2006/12/11〜12/17）","『ドラゴンクエストモンスターズジョーカー』|DS、スクウェア・エニックス、36点(10/9/8/9)","●―"
"945","PS2 83844|PS3 153013|GC 2358|Wii 406158|XB360 37884|GBASP 7945|GBM 5210|PSP 192505|DS 1883|DSL 668045|（2週分）","『ドラゴンクエストモンスターズジョーカー』|DS、スクウェア・エニックス、2006/12/28、5040円、633084本（初）|（2006/12/18〜12/31）","『ギアーズオブウォー』|XB360、マイクロソフト、37点(10/9/9/9)","●―"
"946","PS2 53299|PS3 67620|GC 1357|Wii 146553|XB360 20586|GBASP 3833|GBM 3439|PSP 118479|DS 629|DSL 304692","『ドラゴンクエストモンスターズジョーカー』|DS、スクウェア・エニックス、2006/12/28、5040円、247558本（880642）|（2007/1/1〜1/7）","『グランド・セフト・オート・サンアンドレアス』|PS2、カプコン、38点(9/10/9/10)","●―"
"947","PS2 23815|PS3 33492|GC 657|Wii 96975|XB360 8666|GBASP 1228|GBM 1888|PSP 44173|DS 389|DSL 107503","『Wiiスポーツ』|Wii、任天堂、2006/12/2、4800円、71952本（782190）|（2007/1/8〜1/14）","『J.LEAGUEプロサッカークラブをつくろう！5』|PS2、セガ、30点(8/8/8/6)","●―"
"948","PS2 18322|PS3 25379|GC 406|Wii 80514|XB360 6809|GBASP 1456|GBM 1506|PSP 39707|DS 706|DSL 133347","『.hack//G.U.Vol.3 歩くような速さで』|PS2、バンダイナムコゲームス、2007/1/18、7140円、123676本（初）|（2007/1/15〜1/21）","『バーチャファイター5』|PS3、セガ、35点(9/9/9/8)","●―"
"949","DSL 190116|DS 424|PSP 36354|GBASP 1101|GBM 1201|PS2 18826|Wii 81381|PS3 21028|XB360 7639|GC 283","『グランド・セフト・オート・サンアンドレアス』|PS2、カプコン、2007/1/25、7329円、209974本（初）|（2007/1/22〜1/28）","『レイトン教授と不思議な町』|DS、レベルファイブ、33点(8/8/8/9)","●―"
"950","DSL 175440|DS 439|PSP 34005|GBASP 919|GBM 1159|PS2 17877|Wii 75173|PS3 20687|XB360 5509|GC 369","『J.LEAGUEプロサッカークラブをつくろう！5』|PS2、セガ、2007/2/1、7329円、108334本（初）|（2007/1/29〜2/4）","『モンスターハンターポータブル2nd』|PSP、カプコン、34点(9/8/9/8)|『ライオットアクト』|XB360、マイクロソフト、34点(9/8/8/9)","●―"
"951","DSL 164850|DS 608|PSP 32142|GBASP 708|GBM 1208|PS2 16083|Wii 68978|PS3 22950|XB360 4380|GC 416","『バーチャファイター5』|PS3、セガ、2007/2/8、8190円、52432本（初）|（2007/2/5〜2/11）","『ガンダム無双』|PS3、コーエー、33点(9/8/8/8)","●―"
"952","DSL 143603|DS 457|PSP 37202|GBASP 667|GBM 1028|PS2 16513|Wii 63849|PS3 20617|XB360 4678|GC 414","『レイトン教授と不思議な町』|DS、レベルファイブ、2007/2/15、4800円、119816本（初）|（2007/2/12〜2/18）","『聖剣伝説ヒーローズオブマナ』|DS、スクウェア・エニックス、32点(9/8/8/7)|『ヨッシーアイランドDS』|DS、任天堂、32点(9/7/8/8)","●―"
"953","DSL 134088|DS 538|PSP 93523|GBASP 789|GBM 877|PS2 15966|Wii 88338|PS3 21558|XB360 4062|GC 295","『モンスターハンターポータブル2nd』|PSP、カプコン、2007/2/22、5229円、746313本（初）|（2007/2/19〜2/25）","『ことばのパズルもじぴったんDS』|DS、バンダイナムコゲームス、33点(9/8/8/8)","●―"
"954","DSL 114435|DS 625|PSP 61858|GBASP 711|GBM 1041|PS2 15389|Wii 61359|PS3 46924|XB360 4361|GC 319","『スーパーロボット大戦W』|DS、バンプレスト、2007/3/1、6090円、172190本（初）|（2007/2/26〜3/4）","『無双OROCHI』|PS2、コーエー、33点(9/8/8/8)","●―"
