"号","ハード売上","ソフトTOP1","クロレビ高得点","その他"
"|1375","3DS 4082|New3DS 21646|Vita 28896|WiiU 5298|PS3 6450|PS4 46830|XBOne 220","『Bloodborne（ブラッドボーン）』|PS4、SCE、2015/03/26、6900円(税別)、150245本（初）|（2015/03/23〜2015/03/29)","『GIRLS MODE 3 キラキラ☆コーデ』|3DS、任天堂、34点(8/8/10/8)|『ダイイングライト』|PS4/XBone、ワーナーエンターテイメントジャパン、34点(9/9/8/8)","●特別定価440円"
"|1376","3DS 3579|New3DS 26644|Vita 21460|WiiU 5753|PS3 5685|PS4 26928|XBOne 292","『第3次スーパーロボット大戦Z 天獄篇』|PS3、バンダイナムコエンターテイメント、2015/04/02、8070円(税別)、105072本（初）|（2015/03/30〜2015/04/05)","『ブレイブリーセカンド』|3DS、スクウェア・エニックス、36点(9/9/9/9)","●特別定価480円"
"|1377※","3DS 2954|New3DS 20583|Vita 16056|WiiU 5208|PS3 4466|PS4 16831|XBOne 625","『DARK SOULS II（ダークソウルII）SCHOLAR OF THE FIRST SIN（スカラーオブザファーストシン）』|PS4、フロム・ソフトウェア、2015/04/09、5520円(税別)、16047本（初）|（2015/04/06〜2015/04/12)","『PUZZLE & DRAGONS SUPER MARIO BROS. EDITION（パズル＆ドラゴンズ スーパーマリオブラザーズエディション）』|3DS、ガンホー・オンライン・エンターテイメント、36点(9/9/9/9)","●特別定価460円"
"|1379","3DS 2534|New3DS 18240|Vita 13799|WiiU 5008|PS3 3958|PS4 14324|XBOne 513","『GIRLS MODE 3 キラキラ☆コーデ』|3DS、任天堂、2015/04/16、4700円(税別)、58965本（初）|（2015/04/13〜2015/04/19)","『Code Name：S.T.E.A.M. リンカーンVSエイリアン』|3DS、任天堂、34点(8/9/9/8)","●特別定価460円"
"|1380","3DS 2104|New3DS 18472|Vita 14718|WiiU 6215|PS3 3721|PS4 19516|XBOne 508","『ブレイブリーセカンド』|3DS、スクウェア・エニックス、2015/04/23、5980円(税別)、97220本（初）|（2015/04/20〜2015/04/26)","『ニヒラブラ-生命と色彩の旅路-』|Vita、ユニティ・ゲームズ・ジャパン、31点(8/8/7/8)","●特別定価450円"
"|1381","3DS 2684/2390|New3DS 24526/22321|Vita 18163/17199|WiiU 22936/8864|PS3 3894/3480|PS4 17671/14591|XBOne 403/256","『PUZZLE＆DRAGONS SUPER MARIO BROS.EDITION（パズル＆ドラゴンズ スーパーマリオブラザーズエディション）』|3DS、ガンホー・オンライン・エンターテイメント、2015/04/29、4000円(税別)、228383本（初）|（2015/04/27〜2015/05/10)","『初音ミク Project mirai でらっくす』|3DS、セガゲームス、36点(9/9/9/9)","●特別定価450円"
"|1382","3DS 1524|New3DS 14486|Vita 11335|WiiU 6698|PS3 2663|PS4 10945|XBOne 155","『ファイナルファンタジーX/X-2 HDリマスター』|PS4、スクウェア・エニックス、2015/05/14、6800円(税別)、17972本（初）|（2015/05/11〜2015/05/17)","『ウィッチャー3 ワイルドハント』|PS4/XBOne、スパイク・チュンソフト、37点(10/9/9/9)","●特別定価450円"
"|1383","3DS 1622|New3DS 13859|Vita 11141|WiiU 6836|PS3 2426|PS4 10846|XBOne 252","『ウィッチャー3 ワイルドハント』|PS4、スパイク・チュンソフト、2015/05/21、8200円(税別)、67458本（初）|（2015/05/18〜2015/05/24)","『Splatoon（スプラトゥーン）』|WiiU、任天堂、36点(9/9/9/9)","●特別定価460円"
"|1384","3DS 1703|New3DS 14638|Vita 13408|WiiU 15787|PS3 2708|PS4 11327|XBOne 348","『Splatoon（スプラトゥーン）』|WiiU、任天堂、2015/05/28、5700円(税別)、156610本（初）|（2015/05/25〜2015/05/31)","『ポポロクロイス牧場物語』|3DS、マーベラス、31点(8/8/7/8)","●特別定価450円"
"|1385","3DS 1740|New3DS 15764|Vita 11594|WiiU 17104|PS3 2444|PS4 10137|XBOne 248","『Splatoon（スプラトゥーン）』|WiiU、任天堂、2015/05/28、5700円(税別)、81764本（238374）|（2015/06/01〜2015/06/07)","『ファイアーエムブレムif 白夜王国/暗夜王国』|3DS、任天堂、36点(9/9/9/9)","●特別定価460円"
"|1386","3DS 1794|New3DS 23976|Vita 11022|WiiU 16740|PS3 2326|PS4 10117|XBOne 118","『リズム天国 ザ・ベスト＋』|3DS、任天堂、2015/06/11、4700円(税別)、155784本（初）|（2015/06/08〜2015/06/14)","『メゾン・ド・魔王』|PS4、メビウス、34点(8/9/8/9)","●特別定価480円"
"|1387","3DS 3102|New3DS 21176|Vita 11535|WiiU 14868|PS3 2448|PS4 12748|XBOne 178","『リズム天国 ザ・ベスト＋』|3DS、任天堂、2015/06/11、4700円(税別)、69512本（225296）|（2015/06/15〜2015/06/21)","『大逆転裁判-成歩堂龍之介の冒険-』|3DS、カプコン、35点(9/9/9/8)","●特別定価460円"
"|1388","3DS 2080|New3DS 30253|Vita 23769|WiiU 14013|PS3 2451|PS4 11977|XBOne 357","『ファイアーエムブレムif 白夜王国/暗夜王国』|3DS、任天堂、2015/06/25、4700円(税別)、353201本（初）|（2015/06/22〜2015/06/28)","『バットマン：アーカム・ナイト』|PS4、ワーナーエンターテイメントジャパン、37点(10/9/9/9)","●特別定価460円"
"|1389","3DS 1935|New3DS 24997|Vita 14676|WiiU 14406|PS3 2765|PS4 15182|XBOne 166","『ファイアーエムブレムif 白夜王国/暗夜王国』|3DS、任天堂、2015/06/25、4700円(税別)、71550本（424751）|（2015/06/29〜2015/07/05)","『魔壊神トリリオン』|Vita、コンパイルハート、34点(9/8/8/9)|『戦国BASARA4 皇』|PS4/PS3、カプコン、34点(9/8/8/9)","●特別定価470円"
"|1390","3DS 1872|New3DS 26171|Vita 13614|WiiU 10981|PS3 2589|PS4 12906|XBOne 129","『妖怪ウォッチバスターズ 赤猫団/白犬隊』|3DS、レベルファイブ、2015/07/11、各4600円(税別)、688386本（初）|（2015/07/06〜2015/07/12)","『どうぶつの森 ハッピーホームデザイナー』|3DS、任天堂、35点(9/8/9/9)","●特別定価470円"
"|1391","3DS 3129|New3DS 24126|Vita 12601|WiiU 12204|PS3 2513|PS4 22380|XBOne 183","『妖怪ウォッチバスターズ 赤猫団/白犬隊』|3DS、レベルファイブ、2015/07/11、各4600円(税別)、224268本（912654）|（2015/07/13〜2015/07/19)","『Nom Nom Galaxy』|PS4、Double Eleven Limited、34点(8/9/9/8)","●特別定価450円"
"|1392※","3DS 1748|New3DS 24460|Vita 12737|WiiU 11421|PS3 2379|PS4 15256|XBOne 133","『妖怪ウォッチバスターズ 赤猫団/白犬隊』|3DS、レベルファイブ、2015/07/11、各4600円(税別)、118534本（1031188）|（2015/07/20〜2015/07/26)","『レンドフルール』|Vita、アイディアファクトリー、34点(9/9/9/7)","●特別定価480円"
"|1394","3DS 1907|New3DS 49264|Vita 12847|WiiU 12589|PS3 2120|PS4 13192|XBOne 120","『どうぶつの森 ハッピーホームデザイナー』|3DS、任天堂、2015/07/30、4000円(税別)、516381本（初）|（2015/07/27〜2015/08/02)","『Devil's Third（デビルズサード）』|WiiU、任天堂、33点(8/9/8/8)","●特別定価430円"
"|1395","3DS 2381/3283|New3DS 33625/41762|Vita 11564/16323|WiiU 14214/19259|PS3 2205/3040|PS4 13104/17420|XBOne 337/208","『どうぶつの森 ハッピーホームデザイナー』|3DS、任天堂、2015/07/30、4000円(税別)、369695本（886076）|（2015/08/03〜2015/08/16)","『メタルギアソリッドV ファントムペイン』|PS4/PS3/XBOne/XB360、KONAMI、40点(10/10/10/10)","●特別定価460円"
"|1396","3DS 2009|New3DS 27014|Vita 10934|WiiU 11632|PS3 2190|PS4 13525|XBOne 140","『スーパーロボット大戦BX』|3DS、バンダイナムコエンターテインメント、2015/08/20、6640円(税別)、98184本（初）|（2015/08/17〜2015/08/23)","『スーパーマリオメーカー』|WiiU、任天堂、37点(9/9/9/10)","●特別定価460円"
"|1397","3DS 2917|New3DS 44480|Vita 11461|WiiU 11499|PS3 2308|PS4 17321|XBOne 231","『ドラゴンクエストVIII 空と海と大地の呪われし姫君』|3DS、スクウェア・エニックス、2015/08/27、5980円(税別)、615651本（初）|（2015/08/24〜2015/08/30)","『ポケモン超不思議のダンジョン』|3DS、ポケモン、36点(9/9/9/9)","●特別定価440円"
"|1398","3DS 2613|New3DS 27409|Vita 10403|WiiU 10197|PS3 2360|PS4 54720|XBOne 120","『メタルギアソリッドV ファントムペイン』|PS4、KONAMI、2015/09/02、8400円(税別)、315288本（初）|（2015/08/31〜2015/09/06)","『ドラゴンクエストVIII 空と海と大地と呪われし姫君』|3DS、スクウェア・エニックス、34点(9/9/8/8)","●特別定価480円"
"|1399","3DS 2007|New3DS 22717|Vita 8940|WiiU 20564|PS3 2083|PS4 18354|XBOne 115","『スーパーマリオメーカー』|WiiU、任天堂、2015/09/10、5700円(税別)、143514本（初）|（2015/09/07〜2015/09/13)","『ウイニングイレブン2016』|PS4/PS3、KONAMI、35点(10/8/8/9)","●特別定価460円"
"||1400","3DS 2342|New3DS 25668|Vita 18347|WiiU 18614|PS3 1866|PS4 10558|XBOne 242","『ポケモン超不思議のダンジョン』|3DS、ポケモン、2015/09/17、4700円(税別)、168471本（初）|（2015/09/14〜2015/09/20)","『プロ野球ファミスタリターンズ』|3DS、バンダイナムコエンターテインメント、34点(8/8/9/9)","●特別定価500円|●ハード販売台数および売り上げTOPソフトは雑誌未掲載のためWeb版より引用"
