"begin_date","end_date","hw","units"
"2016-09-26","2016-10-03","WiiU","2071"
"2016-09-26","2016-10-03","PS4","38063"
"2016-09-26","2016-10-03","XBOne","160"
"2016-10-03","2016-10-10","3DS","34119"
"2016-10-03","2016-10-10","Vita","7976"
"2016-10-03","2016-10-10","WiiU","2561"
"2016-10-03","2016-10-10","PS4","32525"
"2016-10-03","2016-10-10","XBOne","102"
"2016-10-10","2016-10-17","3DS","30315"
"2016-10-10","2016-10-17","Vita","7881"
"2016-10-10","2016-10-17","WiiU","2558"
"2016-10-10","2016-10-17","PS4","29447"
"2016-10-10","2016-10-17","XBOne","899"
"2016-10-17","2016-10-24","3DS","26015"
"2016-10-17","2016-10-24","Vita","7514"
"2016-10-17","2016-10-24","WiiU","2130"
"2016-10-17","2016-10-24","PS4","26719"
"2016-10-17","2016-10-24","XBOne","215"
"2016-10-24","2016-10-31","3DS","25763"
"2016-10-24","2016-10-31","Vita","9879"
"2016-10-24","2016-10-31","WiiU","2172"
"2016-10-24","2016-10-31","PS4","32169"
"2016-10-24","2016-10-31","XBOne","130"
"2016-10-31","2016-11-07","3DS","28902"
"2016-10-31","2016-11-07","Vita","9012"
"2016-10-31","2016-11-07","WiiU","2293"
"2016-10-31","2016-11-07","PS4","32484"
"2016-10-31","2016-11-07","XBOne","210"
"2016-11-07","2016-11-14","3DS","29981"
"2016-11-07","2016-11-14","Vita","8637"
"2016-11-07","2016-11-14","WiiU","2467"
"2016-11-07","2016-11-14","PS4","93512"
"2016-11-07","2016-11-14","XBOne","125"
"2016-11-14","2016-11-21","3DS","113987"
"2016-11-14","2016-11-21","Vita","7985"
"2016-11-14","2016-11-21","WiiU","2973"
"2016-11-14","2016-11-21","PS4","37383"
"2016-11-14","2016-11-21","XBOne","85"
"2016-11-21","2016-11-28","3DS","68887"
"2016-11-21","2016-11-28","Vita","10584"
"2016-11-21","2016-11-28","WiiU","3414"
"2016-11-21","2016-11-28","PS4","40636"
"2016-11-21","2016-11-28","XBOne","1020"
"2016-11-28","2016-12-05","3DS","62267"
"2016-11-28","2016-12-05","Vita","14853"
"2016-11-28","2016-12-05","WiiU","4713"
"2016-11-28","2016-12-05","PS4","116593"
"2016-11-28","2016-12-05","XBOne","315"
"2016-12-05","2016-12-12","3DS","82663"
"2016-12-05","2016-12-12","Vita","17996"
"2016-12-05","2016-12-12","WiiU","4240"
"2016-12-05","2016-12-12","PS4","98684"
"2016-12-05","2016-12-12","XBOne","363"
"2016-12-12","2016-12-19","3DS","117793"
"2016-12-12","2016-12-19","Vita","26955"
"2016-12-12","2016-12-19","WiiU","4544"
"2016-12-12","2016-12-19","PS4","75061"
"2016-12-12","2016-12-19","XBOne","279"
"2016-12-19","2016-12-26","3DS","229575"
"2016-12-19","2016-12-26","Vita","58745"
"2016-12-19","2016-12-26","WiiU","8417"
"2016-12-19","2016-12-26","PS4","107269"
"2016-12-19","2016-12-26","XBOne","757"
"2016-12-26","2017-01-02","3DS","119848"
"2016-12-26","2017-01-02","Vita","32960"
"2016-12-26","2017-01-02","WiiU","3204"
"2016-12-26","2017-01-02","PS4","93144"
"2016-12-26","2017-01-02","XBOne","744"
"2017-01-02","2017-01-09","3DS","121419"
"2017-01-02","2017-01-09","Vita","43616"
"2017-01-02","2017-01-09","WiiU","3593"
"2017-01-02","2017-01-09","PS4","89346"
"2017-01-02","2017-01-09","XBOne","402"
"2017-01-09","2017-01-16","3DS","46381"
"2017-01-09","2017-01-16","Vita","16689"
"2017-01-09","2017-01-16","WiiU","1332"
"2017-01-09","2017-01-16","PS4","49274"
"2017-01-09","2017-01-16","XBOne","306"
"2017-01-16","2017-01-23","3DS","34278"
"2017-01-16","2017-01-23","Vita","12286"
"2017-01-16","2017-01-23","WiiU","1070"
"2017-01-16","2017-01-23","PS4","36413"
"2017-01-16","2017-01-23","XBOne","350"
"2017-01-23","2017-01-30","3DS","33890"
"2017-01-23","2017-01-30","Vita","11911"
"2017-01-23","2017-01-30","WiiU","937"
"2017-01-23","2017-01-30","PS4","44243"
"2017-01-23","2017-01-30","XBOne","483"
"2017-01-30","2017-02-06","3DS","31299"
"2017-01-30","2017-02-06","Vita","9772"
"2017-01-30","2017-02-06","WiiU","998"
"2017-01-30","2017-02-06","PS4","35980"
"2017-01-30","2017-02-06","XBOne","117"
"2017-02-06","2017-02-13","3DS","31569"
"2017-02-06","2017-02-13","Vita","8730"
"2017-02-06","2017-02-13","WiiU","897"
"2017-02-06","2017-02-13","PS4","31110"
"2017-02-06","2017-02-13","XBOne","178"
"2017-02-13","2017-02-20","3DS","27377"
"2017-02-13","2017-02-20","Vita","8339"
"2017-02-13","2017-02-20","WiiU","601"
"2017-02-13","2017-02-20","PS4","28820"
"2017-02-13","2017-02-20","XBOne","110"
"2017-02-20","2017-02-27","3DS","24740"
"2017-02-20","2017-02-27","Vita","11069"
"2017-02-20","2017-02-27","WiiU","626"
"2017-02-20","2017-02-27","PS4","44158"
"2017-02-20","2017-02-27","XBOne","525"
"2017-02-27","2017-03-06","3DS","27078"
"2017-02-27","2017-03-06","Vita","9879"
"2017-02-27","2017-03-06","WiiU","644"
"2017-02-27","2017-03-06","NSW","330637"
"2017-02-27","2017-03-06","PS4","36637"
"2017-02-27","2017-03-06","XBOne","168"
"2017-03-06","2017-03-13","3DS","24498"
"2017-03-06","2017-03-13","Vita","8819"
"2017-03-06","2017-03-13","WiiU","678"
"2017-03-06","2017-03-13","NSW","63420"
"2017-03-06","2017-03-13","PS4","34565"
"2017-03-06","2017-03-13","XBOne","121"
"2017-03-13","2017-03-20","3DS","56537"
"2017-03-13","2017-03-20","Vita","8459"
"2017-03-13","2017-03-20","WiiU","441"
"2017-03-13","2017-03-20","NSW","50821"
"2017-03-13","2017-03-20","PS4","32432"
"2017-03-13","2017-03-20","XBOne","112"
"2017-03-20","2017-03-27","3DS","51289"
"2017-03-20","2017-03-27","Vita","7529"
"2017-03-20","2017-03-27","WiiU","383"
"2017-03-20","2017-03-27","NSW","79493"
"2017-03-20","2017-03-27","PS4","30479"
"2017-03-20","2017-03-27","XBOne","85"
"2017-03-27","2017-04-03","3DS","36332"
"2017-03-27","2017-04-03","Vita","7330"
"2017-03-27","2017-04-03","WiiU","523"
"2017-03-27","2017-04-03","NSW","32262"
"2017-03-27","2017-04-03","PS4","28308"
"2017-03-27","2017-04-03","XBOne","242"
"2017-04-03","2017-04-10","3DS","26471"
"2017-04-03","2017-04-10","Vita","6313"
"2017-04-03","2017-04-10","WiiU","393"
"2017-04-03","2017-04-10","NSW","45271"
"2017-04-03","2017-04-10","PS4","22076"
"2017-04-03","2017-04-10","XBOne","108"
"2017-04-10","2017-04-17","3DS","24085"
"2017-04-10","2017-04-17","Vita","6123"
"2017-04-10","2017-04-17","WiiU","361"
"2017-04-10","2017-04-17","NSW","42700"
"2017-04-10","2017-04-17","PS4","22067"
"2017-04-10","2017-04-17","XBOne","70"
"2017-04-17","2017-04-24","3DS","21695"
"2017-04-17","2017-04-24","Vita","5414"
"2017-04-17","2017-04-24","WiiU","376"
"2017-04-17","2017-04-24","NSW","40367"
"2017-04-17","2017-04-24","PS4","18846"
"2017-04-17","2017-04-24","XBOne","73"
"2017-04-24","2017-05-01","3DS","21602"
"2017-04-24","2017-05-01","Vita","6194"
"2017-04-24","2017-05-01","WiiU","184"
"2017-04-24","2017-05-01","NSW","74217"
"2017-04-24","2017-05-01","PS4","24756"
"2017-04-24","2017-05-01","XBOne","169"
"2017-05-01","2017-05-08","3DS","23264"
"2017-05-01","2017-05-08","Vita","6921"
"2017-05-01","2017-05-08","WiiU","418"
"2017-05-01","2017-05-08","NSW","47353"
"2017-05-01","2017-05-08","PS4","28498"
"2017-05-01","2017-05-08","XBOne","97"
"2017-05-08","2017-05-15","3DS","13730"
"2017-05-08","2017-05-15","Vita","4212"
"2017-05-08","2017-05-15","WiiU","203"
"2017-05-08","2017-05-15","NSW","25257"
"2017-05-08","2017-05-15","PS4","17287"
"2017-05-08","2017-05-15","XBOne","72"
"2017-05-15","2017-05-22","3DS","13374"
"2017-05-15","2017-05-22","Vita","4596"
"2017-05-15","2017-05-22","WiiU","206"
"2017-05-15","2017-05-22","NSW","27264"
"2017-05-15","2017-05-22","PS4","17034"
"2017-05-15","2017-05-22","XBOne","97"
"2017-05-22","2017-05-29","3DS","13049"
"2017-05-22","2017-05-29","Vita","4867"
"2017-05-22","2017-05-29","WiiU","229"
"2017-05-22","2017-05-29","NSW","27440"
"2017-05-22","2017-05-29","PS4","19747"
"2017-05-22","2017-05-29","XBOne","102"
"2017-05-29","2017-06-05","3DS","12533"
"2017-05-29","2017-06-05","Vita","4843"
"2017-05-29","2017-06-05","WiiU","186"
"2017-05-29","2017-06-05","NSW","25274"
"2017-05-29","2017-06-05","PS4","21286"
"2017-05-29","2017-06-05","XBOne","51"
"2017-06-05","2017-06-12","3DS","11519"
"2017-06-05","2017-06-12","Vita","4317"
"2017-06-05","2017-06-12","WiiU","133"
"2017-06-05","2017-06-12","NSW","28293"
"2017-06-05","2017-06-12","PS4","19867"
"2017-06-05","2017-06-12","XBOne","61"
"2017-06-12","2017-06-19","3DS","12112"
"2017-06-12","2017-06-19","Vita","4573"
"2017-06-12","2017-06-19","WiiU","253"
"2017-06-12","2017-06-19","NSW","49440"
"2017-06-12","2017-06-19","PS4","25117"
"2017-06-12","2017-06-19","XBOne","69"
"2017-06-19","2017-06-26","3DS","12651"
"2017-06-19","2017-06-26","Vita","4535"
"2017-06-19","2017-06-26","WiiU","108"
"2017-06-19","2017-06-26","NSW","26964"
"2017-06-19","2017-06-26","PS4","26140"
"2017-06-19","2017-06-26","XBOne","181"
"2017-06-26","2017-07-03","3DS","12036"
"2017-06-26","2017-07-03","Vita","4914"
"2017-06-26","2017-07-03","WiiU","135"
"2017-06-26","2017-07-03","NSW","24736"
"2017-06-26","2017-07-03","PS4","28642"
"2017-06-26","2017-07-03","XBOne","82"
"2017-07-03","2017-07-10","3DS","11228"
"2017-07-03","2017-07-10","Vita","4678"
"2017-07-03","2017-07-10","WiiU","176"
"2017-07-03","2017-07-10","NSW","36143"
"2017-07-03","2017-07-10","PS4","28414"
"2017-07-03","2017-07-10","XBOne","68"
"2017-07-10","2017-07-17","3DS","48464"
"2017-07-10","2017-07-17","Vita","4487"
"2017-07-10","2017-07-17","WiiU","216"
"2017-07-10","2017-07-17","NSW","25154"
"2017-07-10","2017-07-17","PS4","28793"
"2017-07-10","2017-07-17","XBOne","35"
"2017-07-17","2017-07-24","3DS","28831"
"2017-07-17","2017-07-24","Vita","4417"
"2017-07-17","2017-07-24","WiiU","214"
"2017-07-17","2017-07-24","NSW","102581"
"2017-07-17","2017-07-24","PS4","27530"
"2017-07-17","2017-07-24","XBOne","102"
"2017-07-24","2017-07-31","3DS","126790"
"2017-07-24","2017-07-31","Vita","4364"
"2017-07-24","2017-07-31","WiiU","207"
"2017-07-24","2017-07-31","NSW","105697"
"2017-07-24","2017-07-31","PS4","93954"
"2017-07-24","2017-07-31","XBOne","103"
"2017-07-31","2017-08-07","3DS","61995"
"2017-07-31","2017-08-07","Vita","4653"
"2017-07-31","2017-08-07","WiiU","128"
"2017-07-31","2017-08-07","NSW","69686"
"2017-07-31","2017-08-07","PS4","52819"
"2017-07-31","2017-08-07","XBOne","101"
"2017-08-07","2017-08-14","3DS","46348"
"2017-08-07","2017-08-14","Vita","5038"
"2017-08-07","2017-08-14","WiiU","136"
"2017-08-07","2017-08-14","NSW","77146"
"2017-08-07","2017-08-14","PS4","38015"
"2017-08-07","2017-08-14","XBOne","87"
"2017-08-14","2017-08-21","3DS","41175"
"2017-08-14","2017-08-21","Vita","5420"
"2017-08-14","2017-08-21","WiiU","232"
"2017-08-14","2017-08-21","NSW","22154"
"2017-08-14","2017-08-21","PS4","39970"
"2017-08-14","2017-08-21","XBOne","102"
"2017-08-21","2017-08-28","3DS","26796"
"2017-08-21","2017-08-28","Vita","3953"
"2017-08-21","2017-08-28","WiiU","89"
"2017-08-21","2017-08-28","NSW","85503"
"2017-08-21","2017-08-28","PS4","26335"
"2017-08-21","2017-08-28","XBOne","63"
"2017-08-28","2017-09-04","3DS","25185"
"2017-08-28","2017-09-04","Vita","4113"
"2017-08-28","2017-09-04","WiiU","87"
"2017-08-28","2017-09-04","NSW","32857"
"2017-08-28","2017-09-04","PS4","29736"
"2017-08-28","2017-09-04","XBOne","55"
